Address,house_number,house,road,neighbourhood,city_district,postcode,state,latitude,longitude,latitude g,longitude g
"Lot 3A- B NG -M01, Basement Ground Floor, Kompleks Bukit Jambul",Lot 3A,"Lot 3A- B NG -M01, Basement Ground Floor",,,,,,,,5.33391,100.28026
"Lot 31156, Persiaran S2 B7, Seremban 2",Lot 31156,"Lot 31156, Persiaran S2 B7",,,,,Seremban 2,,,4.80558,101.09608
"Lot 15, 16 & 17 DBKK, 
No B-6, B-7 & B-8 Blok B, 
Lorong Plaza Permai 1, Alamesra,
Sulaiman Coastal Highway, 88400 Kota Kinabalu.","Lot 15, 16 & 17 DBKK, 
No B-6, B-7 & B-8 Blok B, ","Lot 15, 16 & 17 DBKK, 
No B-6, B-7 & B-8 Blok B, ",Lorong Plaza Permai 1,,,88400,Kota Kinabalu,6.034028,116.131568,5.34341,100.45746
"59,Jalan Sri Bhagia,81250,Johor Bharu",59,,Jalan Sri Bahagia,,Johor Bharu,81250,,,,1.61144,103.66535
"18/G, Jalan Pinang G, 40200, Shah Alam",18/G,,Jalan Pinang G,,Shah Alam,40200,,3.045436,101.515923,3.22456,101.42492
"NO. 1, JALAN DATARAN MARVELANE , KLANG, SELANGOR, 41050",NO. 1,,JALAN DATARAN MARVELANE,, KLANG,41050,SELANGOR,3.072426,101.450345,3.11092,101.43912
"NO. 1 & 3, PERSIARAN SULTAN IBRAHIM, KLANG, SELANGOR, 41300.",NO. 1 & 3,, PERSIARAN SULTAN IBRAHIM,, KLANG,41300,SELANGOR,3.048864,101.452212,4.57664,101.10298
"134 & 136, JLN KAPAR, KLANG, SELANGOR, 41400",134 & 136,,JLN KAPAR,, KLANG,41400,SELANGOR,,,3.21754,101.62292
"Aeon Mall, Badar Dato'Onn Utama, Johor Bharu",,Aeon Mall,Bandar Dato' Onn Utama,,Johor Bharu,,,1.564308,103.735069,6.11677,102.24057
"Terminal KLIA, KL International Airport",,Terminal KLIA,KL International Airport,,,,,,,2.73061,101.72116
"NO. 2, JALAN APOLLO U5/191, SEKSYEN U5, BANDAR PINGGIRAN SUBANG, SHAH ALAM, SELANGOR, 40150.",NO. 2,,JALAN APOLLO U5/191,SEKSYEN U5,SHAH ALAM,40150,SELANGOR,,,3.15891,101.55116
"LOT G65 GROUND FLOOR,
6, JLN TMN SETIAWANGSA,
Kuala Lumpur,
Ampang,
54200, 
Malaysia",Lot G65 Ground Floor 6,"LOT G65 GROUND FLOOR, 6, JLN TMN SETIAWANGSA,",Jalan Taman Titiwangsa,,Kuala Lumpur,54200,,3.177393,101.750681,3.18107,101.74395
"NO. 24 - 26 JALAN 6/3A, TAMAN DESA CEMPAKA, DESA CEMPAKA, BANDAR BARU NILAI, NILAI, NEGERI SEMBILAN, 71800.",NO. 24 - 26,,JALAN 6/3A,"DESA CEMPAKA, BANDAR BARU NILAI",NILAI,71800,NEGERI SEMBILAN,,,5.27349,100.42999
"No. 318, JLN SUNGAI BESI, KUALA LUMPUR, 57100.",No. 318,,JLN SUNGAI BESI,,KUALA LUMPUR,57100,,,,3.08644,101.70972
"NO. 18 & 20, JALAN IJOK UTAMA 1, BESTARI JAYA, IJOK, SELANGOR, 45700",NO. 18 & 20,,JALAN IJOK UTAMA 1, BESTARI JAYA,IJOK,45700,SELANGOR,,,3.31477,101.40794
"NO. 21, JALAN 10/2, SEKSYEN 10 OFF JALAN BUKIT BANDAR KAJANG, KAJANG, SELANGOR, 43000",NO. 21,, JALAN 10/2,SEKSYEN 10 OFF JALAN BUKIT BANDAR KAJANG,KAJANG,43000,SELANGOR,,,3.051216,101.805317
"NO. 23, JALAN JENARIS 2A, TAMAN PERINDUSTRIAN SRI JENARIS, TAMAN PERINDUSTRIAN SRI JENARIS, KAJANG, SELANGOR, 43000.",NO. 23,,JALAN JENARIS 2A,"TAMAN PERINDUSTRIAN SRI JENARIS, TAMAN PERINDUSTRIAN SRI JENARIS", KAJANG,43000,SELANGOR,,,3.01083,101.80201
"67 JALAN BPS 4, BANDAR PRIMA SENAWANG, SEREMBAN, NEGERI SEMBILAN, 70450",67,,JALAN BPS 4,BANDAR PRIMA SENAWANG,SEREMBAN,70450,NEGERI SEMBILAN,,,2.70351,101.99101
"NO. 4966 & 4967 TAMAN PANTAI MAS, PORT DICKSON, NEGERI SEMBILAN, 71000",NO. 4966 & 4967,,,TAMAN PANTAI MAS,PORT DICKSON,71000,NEGERI SEMBILAN,,,2.55681,101.80691
"F50, F51, F52 , Aeon Bukit Indah , 81200 Bukit Indah , Johor Bharu","F50, F51 7 F52",Aeon Bukit Indah,,,Bukit Indah,81200,Johor Bharu,,,1.48184,103.65661
